ticker,setup_date,close,volume,vol_sma_20
CRDO,2025-01-06,76.63999938964844,5725800,3921135.0
QUBT,2024-12-18,25.68000030517578,231028400,68475880.0
QUBT,2024-12-17,16.790000915527344,193979900,58192670.0
QUBT,2024-12-16,11.079999923706055,114580000,49751680.0
BTC,2024-12-16,46.939998626708984,2031300,1743720.0
TSLA,2024-12-09,389.7900085449219,96359200,92739240.0
APP,2024-12-06,401.5,9922600,7726215.0
HOOD,2024-12-04,40.0,35447100,25710075.0
PLTR,2024-12-03,70.95999908447266,100751400,87261515.0
NNE,2024-11-21,29.25,10172000,4976515.0
TE,2024-11-21,2.5299999713897705,7976100,6374335.0
SMR,2024-11-08,24.489999771118164,24689200,15845125.0
WULF,2024-11-07,8.210000038146973,31774500,30469265.0
UPST,2024-11-07,55.470001220703125,12705500,7073045.0
ALAB,2024-11-06,98.16999816894531,15381700,5387485.0
WULF,2024-11-06,7.670000076293945,48372100,29846905.0
ALAB,2024-11-05,95.91000366210938,24756900,5244715.0
PLTR,2024-10-25,44.86000061035156,50416500,48331920.0
CSCO,2024-10-16,54.17278289794922,32382300,17398180.0
NNE,2024-10-16,21.450000762939453,12636800,4503465.0
PLTR,2024-10-09,43.130001068115234,86404700,77988580.0
ALAB,2024-10-09,61.220001220703125,12526300,3624295.0
ZETA,2024-10-09,33.130001068115234,6122900,3133510.0
ZETA,2024-09-19,28.399999618530273,4345900,3194510.0
NOW,2024-08-30,171.0,9605000,4877400.0
WMT,2024-08-30,76.0272445678711,23230000,17722210.0
ZETA,2024-08-30,26.40999984741211,3574700,2740175.0
NKE,2024-08-27,81.26960754394531,14954000,11653085.0
RKT,2024-08-23,19.692684173583984,4556400,3888350.0
