Price,Close,High,Low,Open,Volume
Ticker,CAT,CAT,CAT,CAT,CAT
Date,,,,,
2024-07-02,319.06787109375,321.3360668258084,316.9456617377716,319.30149682868966,2119800
2024-07-03,321.84228515625,322.621087166599,319.5546303782636,319.5546303782636,1352200
2024-07-05,319.6422119140625,324.5972222927281,317.9678248744377,322.7768191728394,2280900
2024-07-08,320.3333740234375,324.42200251429006,318.46430878232394,321.59888632818615,1913400
2024-07-09,317.41290283203125,321.36522945968704,317.18899172548544,319.8271440518064,1896100
2024-07-10,319.7687683105469,319.7687683105469,313.11016769235897,317.45188081512566,2904400
2024-07-11,322.34844970703125,325.5609219488387,320.56696460103103,321.2484125108705,3016400
2024-07-12,326.690185546875,329.2601872893469,324.58746495074035,326.0671737266806,2451300
2024-07-15,336.6002197265625,338.67373719295256,328.88052929098666,330.1071237828245,3394300
2024-07-16,351.0174560546875,352.67238417714566,336.1037628777478,337.63210412034033,4637000
2024-07-17,348.3111877441406,353.07151996435596,346.75364326199275,349.4501725976744,3061000
2024-07-18,346.5881042480469,359.43805291128314,346.315531019833,347.04564106414745,3876300
2024-07-19,338.410888671875,347.035908015222,337.49581500998767,345.9261561601541,3462700
2024-07-22,340.0237121582031,340.86433018345605,333.6801050568799,340.1507847527731,2659600
2024-07-23,336.4071044921875,340.79582098407747,333.68002584068637,337.9319156065398,2027800
2024-07-24,328.4605407714844,337.04250444750096,327.8838519509006,335.2146875453081,2835800
2024-07-25,336.5341796875,340.3462376703105,326.4176514647527,327.94246272617954,3291300
2024-07-26,342.5747985839844,344.97930397894277,339.055992012556,340.77630407619705,1894900
2024-07-29,336.7590637207031,343.45456672501115,335.39064693416725,342.28162100555255,2190300
2024-07-30,334.0124206542969,337.92219964834027,330.9823359680639,335.9086658527476,1970800
2024-07-31,338.3913879394531,343.07332686412025,333.162052506124,337.56055392736863,2568100
2024-08-01,324.0424499511719,341.9394596764045,320.6800378617298,338.48908114516956,3747900
2024-08-02,313.63262939453125,316.10556292396905,310.4950407271258,315.47022992946347,4246700
2024-08-05,309.6544494628906,313.34918900226995,300.12436424004585,302.030393216312,4681300
2024-08-06,319.0770263671875,324.6777948174238,303.4965566292529,306.9664731227856,5071700
2024-08-07,318.4514465332031,327.61988187801444,317.1319201543394,325.98756606048613,3011700
2024-08-08,328.57781982421875,328.84171915942335,320.2206495917944,322.5567567847277,2268300
2024-08-09,330.6304931640625,330.8650703746555,324.98086331804336,328.4214583334837,1668100
2024-08-12,328.4507751464844,332.18462144372813,326.07559144008906,330.6304877903121,2127600
2024-08-13,331.158203125,331.8619643973928,326.2025819040261,329.5747477194263,1503800
2024-08-14,329.9755554199219,334.08083512553986,327.0530052881326,331.94022882851345,1610900
2024-08-15,337.843994140625,339.7988835042553,333.10338146797267,336.7296928853184,3232600
2024-08-16,335.73272705078125,338.03948229864784,333.0740761884332,337.46279348668116,2483800
2024-08-19,336.8763122558594,338.2936190125146,335.5567559357399,335.9281896970286,2252600
2024-08-20,335.5567321777344,338.3620233443891,334.11013320470994,337.21839999345735,1479500
2024-08-21,335.23419189453125,337.8048760897386,334.1394586621791,336.8078634587267,1433200
2024-08-22,334.6379089355469,337.35523347839757,334.0612202182933,335.26348777888427,2021400
2024-08-23,340.551513671875,341.6560309625772,335.3319625201963,337.1891014961558,2183900
2024-08-26,343.2394714355469,346.4161665902687,341.06954309053634,341.91991517465976,1718100
2024-08-27,343.2004089355469,343.7868817737618,339.2710916292279,342.44778718787376,1210800
2024-08-28,340.34625244140625,346.43571375957964,338.0394674655152,342.68232973553563,1514500
2024-08-29,343.7086181640625,348.4198782561473,339.6521993912143,343.2980783254686,1664500
2024-08-30,348.0680847167969,348.20491147187647,341.939486985898,344.6372440666476,2974100
2024-09-03,332.5657653808594,344.67631917496004,330.7672707653762,344.26577928819216,3107200
