symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CAT,2026-01-29 19:05:00+00:00,660.575,662.915,660.12,662.7,46240.0,1348.0,661.423914
CAT,2026-01-29 19:10:00+00:00,663.1999,664.1,662.06,662.86,52315.0,1482.0,663.300457
CAT,2026-01-29 19:15:00+00:00,662.805,664.54,662.335,663.13,65521.0,1952.0,663.219851
CAT,2026-01-29 19:20:00+00:00,663.1957,665.89,662.95,665.7,59594.0,1416.0,664.032933
CAT,2026-01-29 19:25:00+00:00,665.535,666.64,664.0,666.19,60338.0,1545.0,665.53338
CAT,2026-01-29 19:30:00+00:00,665.86,666.5,663.925,665.195,51564.0,1616.0,665.750247
CAT,2026-01-29 19:35:00+00:00,665.195,668.0,665.195,665.57,42378.0,1591.0,666.834022
CAT,2026-01-29 19:40:00+00:00,665.635,665.78,662.93,662.95,27707.0,967.0,664.715919
CAT,2026-01-29 19:45:00+00:00,663.33,663.48,658.835,660.358,67094.0,2359.0,660.790906
CAT,2026-01-29 19:50:00+00:00,660.42,662.0699,659.365,659.46,37134.0,1231.0,660.391986
CAT,2026-01-29 19:55:00+00:00,659.61,659.9899,658.4701,658.4701,45151.0,1361.0,659.621178
CAT,2026-01-29 20:00:00+00:00,658.57,660.49,658.57,660.09,29226.0,1289.0,659.335449
CAT,2026-01-29 20:05:00+00:00,660.09,663.48,659.88,663.27,23729.0,1193.0,661.95847
CAT,2026-01-29 20:10:00+00:00,663.25,663.85,662.415,662.46,29186.0,1271.0,663.088064
CAT,2026-01-29 20:15:00+00:00,662.455,662.4575,660.37,662.16,34142.0,1376.0,661.779692
CAT,2026-01-29 20:20:00+00:00,662.16,662.76,659.2525,659.2525,36130.0,1498.0,661.257658
CAT,2026-01-29 20:25:00+00:00,659.4,659.81,658.395,658.505,23221.0,1092.0,659.023171
CAT,2026-01-29 20:30:00+00:00,658.56,659.8,658.44,658.98,29350.0,1432.0,659.253397
CAT,2026-01-29 20:35:00+00:00,659.4999,659.97,658.835,659.575,32235.0,1358.0,659.565548
CAT,2026-01-29 20:40:00+00:00,659.565,660.79,659.56,659.905,31829.0,1685.0,660.081044
CAT,2026-01-29 20:45:00+00:00,659.76,660.97,659.69,660.475,45704.0,1991.0,660.433779
CAT,2026-01-29 20:50:00+00:00,660.75,661.0,657.5,658.975,122872.0,4543.0,658.993807
CAT,2026-01-29 20:55:00+00:00,658.975,664.96,658.65,664.63,210466.0,8472.0,662.821406
CAT,2026-01-29 21:00:00+00:00,664.2,665.24,664.2,665.24,621857.0,111.0,665.239798
CAT,2026-01-29 21:05:00+00:00,664.87,664.87,664.87,664.87,45.0,2.0,664.87
CAT,2026-01-29 21:10:00+00:00,665.3,665.9786,664.92,665.55,1433.0,50.0,665.489901
CAT,2026-01-29 21:15:00+00:00,665.24,665.75,665.09,665.24,691.0,17.0,665.483262
CAT,2026-01-29 21:20:00+00:00,665.77,666.0,665.77,666.0,121.0,10.0,665.87766
CAT,2026-01-29 21:30:00+00:00,667.0,667.0,665.24,665.24,459.0,34.0,665.838639
CAT,2026-01-29 21:35:00+00:00,665.24,665.41,665.24,665.41,227.0,17.0,665.357241
CAT,2026-01-29 21:40:00+00:00,665.34,665.34,665.34,665.34,109.0,11.0,665.34
CAT,2026-01-29 21:50:00+00:00,661.1412,661.1412,661.1412,661.1412,111.0,3.0,661.1412
CAT,2026-01-29 21:55:00+00:00,660.6824,660.6824,660.6824,660.6824,53.0,6.0,660.6824
CAT,2026-01-29 22:10:00+00:00,664.0,664.5,664.0,664.5,409.0,20.0,664.065735
CAT,2026-01-29 22:15:00+00:00,664.0,664.0,664.0,664.0,170.0,5.0,664.0
CAT,2026-01-29 22:20:00+00:00,665.0,665.0,665.0,665.0,95.0,8.0,665.0
CAT,2026-01-29 22:30:00+00:00,664.01,664.01,664.0,664.0,500.0,5.0,664.000815
CAT,2026-01-29 22:35:00+00:00,665.44,665.53,665.44,665.47,546.0,12.0,665.51512
CAT,2026-01-29 22:40:00+00:00,665.98,665.98,665.98,665.98,59.0,2.0,665.98
CAT,2026-01-29 23:00:00+00:00,664.01,664.01,660.9268,660.9268,279.0,15.0,661.907818
CAT,2026-01-30 00:00:00+00:00,665.23,665.24,665.23,665.24,360.0,20.0,665.236736
CAT,2026-01-30 00:10:00+00:00,665.0,665.24,665.0,665.24,384.0,14.0,665.203636
CAT,2026-01-30 00:15:00+00:00,665.0547,665.0547,665.0547,665.0547,50.0,1.0,665.0547
CAT,2026-01-30 09:00:00+00:00,658.9,658.9,658.66,658.84,187.0,12.0,658.7944
CAT,2026-01-30 09:30:00+00:00,658.02,658.02,657.0,657.0,359.0,25.0,657.451579
CAT,2026-01-30 09:45:00+00:00,655.8,655.8,655.8,655.8,92.0,20.0,655.8
CAT,2026-01-30 09:50:00+00:00,655.02,655.02,655.0,655.0,134.0,8.0,655.01
CAT,2026-01-30 09:55:00+00:00,655.0,655.0,655.0,655.0,986.0,16.0,655.0
CAT,2026-01-30 11:05:00+00:00,657.35,658.01,657.35,658.01,267.0,15.0,657.643333
CAT,2026-01-30 11:40:00+00:00,657.82,657.82,657.82,657.82,44.0,4.0,657.82
CAT,2026-01-30 11:50:00+00:00,660.0,660.0,660.0,660.0,286.0,31.0,660.0
CAT,2026-01-30 11:55:00+00:00,660.99,661.0,660.99,661.0,321.0,13.0,660.998162
CAT,2026-01-30 12:00:00+00:00,659.73,661.38,659.73,661.38,256.0,32.0,660.497442
CAT,2026-01-30 12:15:00+00:00,662.0,662.25,661.0,661.0,752.0,52.0,661.921233
CAT,2026-01-30 12:30:00+00:00,662.0,662.0,662.0,662.0,226.0,8.0,662.0
CAT,2026-01-30 12:40:00+00:00,662.5,662.5,662.5,662.5,45.0,2.0,662.5
CAT,2026-01-30 12:50:00+00:00,662.57,662.94,661.5,661.5,326.0,17.0,662.376863
CAT,2026-01-30 12:55:00+00:00,661.74,661.75,661.74,661.75,244.0,11.0,661.747368
CAT,2026-01-30 13:00:00+00:00,662.59,665.51,658.5,661.08,3025.0,251.0,661.704947
CAT,2026-01-30 13:10:00+00:00,661.16,661.5,661.16,661.5,270.0,27.0,661.331717
CAT,2026-01-30 13:20:00+00:00,661.1,661.1,661.0,661.0,118.0,6.0,661.049495
CAT,2026-01-30 13:35:00+00:00,658.0,658.06,658.0,658.0,804.0,40.0,658.009091
CAT,2026-01-30 13:40:00+00:00,658.0,658.0,658.0,658.0,559.0,13.0,658.0
CAT,2026-01-30 13:45:00+00:00,658.0,658.0,658.0,658.0,970.0,12.0,658.0
CAT,2026-01-30 13:55:00+00:00,660.0,660.0,660.0,660.0,129.0,11.0,660.0
CAT,2026-01-30 14:00:00+00:00,658.39,658.39,658.39,658.39,129.0,13.0,658.39
CAT,2026-01-30 14:05:00+00:00,661.0,661.0,661.0,661.0,210.0,3.0,661.0
CAT,2026-01-30 14:10:00+00:00,661.0,661.0,661.0,661.0,1012.0,4.0,661.0
CAT,2026-01-30 14:20:00+00:00,660.38,660.38,660.35,660.35,104.0,5.0,660.365306
CAT,2026-01-30 14:25:00+00:00,658.4,658.49,651.91,655.0,1263.0,88.0,656.189989
CAT,2026-01-30 14:30:00+00:00,655.65,668.711,654.915,666.09,117279.0,3091.0,661.742825
CAT,2026-01-30 14:35:00+00:00,666.32,672.555,663.84,671.51,89892.0,2487.0,669.188225
CAT,2026-01-30 14:40:00+00:00,671.4557,677.831,671.0,676.8811,96206.0,2910.0,674.739106
CAT,2026-01-30 14:45:00+00:00,676.985,677.21,672.98,673.845,69331.0,2205.0,674.954899
CAT,2026-01-30 14:50:00+00:00,673.845,676.68,670.1,670.1,48106.0,1779.0,674.111086
CAT,2026-01-30 14:55:00+00:00,670.1,672.87,667.691,668.735,37080.0,1615.0,670.503704
CAT,2026-01-30 15:00:00+00:00,669.34,669.85,666.04,667.0,43397.0,1604.0,667.633091
CAT,2026-01-30 15:05:00+00:00,667.115,669.177,667.05,668.42,21078.0,1043.0,668.42559
CAT,2026-01-30 15:10:00+00:00,668.66,669.82,666.4897,669.05,33675.0,1304.0,668.128487
CAT,2026-01-30 15:15:00+00:00,669.045,669.6,667.1,667.72,19641.0,1235.0,667.89924
CAT,2026-01-30 15:20:00+00:00,667.72,669.22,666.97,667.0,38326.0,1480.0,667.964339
CAT,2026-01-30 15:25:00+00:00,667.36,667.48,663.75,664.95,45146.0,1642.0,665.37474
CAT,2026-01-30 15:30:00+00:00,664.525,664.525,660.371,660.97,30709.0,1384.0,662.284974
CAT,2026-01-30 15:35:00+00:00,661.48,665.175,660.65,665.0,27059.0,1244.0,662.536253
CAT,2026-01-30 15:40:00+00:00,664.845,666.365,664.53,665.71,20176.0,971.0,665.274799
CAT,2026-01-30 15:45:00+00:00,665.68,667.1,665.46,665.65,26825.0,1083.0,666.337404
CAT,2026-01-30 15:50:00+00:00,665.68,666.054,662.6,663.3599,27856.0,1037.0,663.991596
CAT,2026-01-30 15:55:00+00:00,662.99,663.69,661.38,662.365,39611.0,1365.0,662.628964
CAT,2026-01-30 16:00:00+00:00,662.33,663.5,662.01,662.355,30834.0,1112.0,662.515232
CAT,2026-01-30 16:05:00+00:00,662.43,662.73,659.75,659.95,19443.0,1020.0,661.282275
CAT,2026-01-30 16:10:00+00:00,660.42,660.42,657.3862,657.3862,79507.0,1134.0,659.331513
CAT,2026-01-30 16:15:00+00:00,657.585,657.6945,653.3601,653.65,35021.0,1411.0,655.215832
