symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2025-12-08 13:35:00+00:00,229.88,230.0,229.7575,229.7575,10212.0,447.0,229.862304
AMZN,2025-12-08 13:40:00+00:00,229.74,229.83,229.7119,229.83,5830.0,181.0,229.772622
AMZN,2025-12-08 13:45:00+00:00,229.81,229.83,229.66,229.71,8186.0,373.0,229.746349
AMZN,2025-12-08 13:50:00+00:00,229.7,229.83,229.7,229.79,13373.0,335.0,229.776453
AMZN,2025-12-08 13:55:00+00:00,229.786,229.83,229.72,229.83,8669.0,375.0,229.794524
AMZN,2025-12-08 14:00:00+00:00,229.83,229.83,229.78,229.78,10276.0,339.0,229.809828
AMZN,2025-12-08 14:05:00+00:00,229.77,229.8299,229.72,229.73,6620.0,319.0,229.773819
AMZN,2025-12-08 14:10:00+00:00,229.83,229.97,229.8,229.9,7380.0,219.0,229.880518
AMZN,2025-12-08 14:15:00+00:00,229.82,229.82,229.6934,229.7124,9198.0,387.0,229.745386
AMZN,2025-12-08 14:20:00+00:00,229.79,229.92,229.78,229.91,13091.0,424.0,229.857151
AMZN,2025-12-08 14:25:00+00:00,229.91,229.98,229.33,229.47,36094.0,821.0,229.654914
AMZN,2025-12-08 14:30:00+00:00,229.64,229.82,228.98,229.7469,1166472.0,28899.0,229.383723
AMZN,2025-12-08 14:35:00+00:00,229.77,230.46,229.7087,230.31,790177.0,13234.0,230.157738
AMZN,2025-12-08 14:40:00+00:00,230.31,230.83,229.809,230.3721,742076.0,12725.0,230.391945
AMZN,2025-12-08 14:45:00+00:00,230.38,230.39,229.05,229.4135,511776.0,9298.0,229.660777
AMZN,2025-12-08 14:50:00+00:00,229.37,229.8947,229.2,229.815,411527.0,7917.0,229.58912
AMZN,2025-12-08 14:55:00+00:00,229.79,229.99,229.532,229.68,371086.0,7195.0,229.715179
AMZN,2025-12-08 15:00:00+00:00,229.685,229.72,229.16,229.38,514317.0,8920.0,229.369248
AMZN,2025-12-08 15:05:00+00:00,229.3815,229.99,229.19,229.72,392807.0,6724.0,229.637662
AMZN,2025-12-08 15:10:00+00:00,229.72,230.1,229.44,229.685,356374.0,9556.0,229.790265
AMZN,2025-12-08 15:15:00+00:00,229.66,229.8,229.38,229.4601,217964.0,5098.0,229.595987
AMZN,2025-12-08 15:20:00+00:00,229.47,229.54,228.77,228.81,414867.0,8654.0,229.155455
AMZN,2025-12-08 15:25:00+00:00,228.81,229.08,228.51,229.04,386191.0,7484.0,228.793891
AMZN,2025-12-08 15:30:00+00:00,229.03,229.3135,228.875,229.15,240134.0,5541.0,229.118308
AMZN,2025-12-08 15:35:00+00:00,229.16,229.241,228.635,228.66,291129.0,6335.0,228.939848
AMZN,2025-12-08 15:40:00+00:00,228.65,228.7,228.21,228.22,416033.0,7572.0,228.526037
AMZN,2025-12-08 15:45:00+00:00,228.22,228.32,227.98,228.23,501973.0,8062.0,228.116856
AMZN,2025-12-08 15:50:00+00:00,228.215,228.33,228.0,228.1201,249476.0,5595.0,228.16407
AMZN,2025-12-08 15:55:00+00:00,228.13,228.22,227.7963,228.0,475417.0,8011.0,227.979103
AMZN,2025-12-08 16:00:00+00:00,228.01,228.02,227.659,227.71,326227.0,6568.0,227.792423
AMZN,2025-12-08 16:05:00+00:00,227.725,227.88,227.61,227.8,240229.0,5358.0,227.774889
AMZN,2025-12-08 16:10:00+00:00,227.82,228.07,227.7,227.76,285016.0,5766.0,227.881967
AMZN,2025-12-08 16:15:00+00:00,227.75,227.79,227.55,227.699,305678.0,6044.0,227.6839
AMZN,2025-12-08 16:20:00+00:00,227.68,228.0999,227.59,228.05,271670.0,5592.0,227.785151
AMZN,2025-12-08 16:25:00+00:00,228.04,228.1,227.65,228.07,226746.0,5260.0,227.907194
AMZN,2025-12-08 16:30:00+00:00,228.039,228.1,227.81,228.06,217637.0,4847.0,227.971761
AMZN,2025-12-08 16:35:00+00:00,228.0513,228.09,227.91,227.99,203739.0,4584.0,228.008506
AMZN,2025-12-08 16:40:00+00:00,228.0,228.3898,227.9901,228.36,309982.0,5765.0,228.180778
AMZN,2025-12-08 16:45:00+00:00,228.35,228.39,228.02,228.035,180800.0,4505.0,228.186457
AMZN,2025-12-08 16:50:00+00:00,228.03,228.17,227.82,227.94,205766.0,5111.0,227.956718
AMZN,2025-12-08 16:55:00+00:00,227.95,228.045,227.875,227.89,163631.0,4246.0,227.95162
AMZN,2025-12-08 17:00:00+00:00,227.87,227.9148,227.35,227.445,338595.0,7140.0,227.601592
AMZN,2025-12-08 17:05:00+00:00,227.44,227.66,227.3601,227.511,195059.0,4816.0,227.534535
AMZN,2025-12-08 17:10:00+00:00,227.48,227.53,227.24,227.38,239294.0,5368.0,227.399106
AMZN,2025-12-08 17:15:00+00:00,227.37,227.5265,227.34,227.35,225050.0,5077.0,227.440534
AMZN,2025-12-08 17:20:00+00:00,227.36,227.55,227.3182,227.39,213302.0,4484.0,227.401247
AMZN,2025-12-08 17:25:00+00:00,227.385,227.54,227.24,227.2799,302206.0,5880.0,227.333656
AMZN,2025-12-08 17:30:00+00:00,227.27,227.42,227.21,227.385,288752.0,5392.0,227.303452
AMZN,2025-12-08 17:35:00+00:00,227.385,227.39,227.2203,227.2584,191174.0,3974.0,227.279001
AMZN,2025-12-08 17:40:00+00:00,227.24,227.41,227.235,227.269,229056.0,4292.0,227.321124
AMZN,2025-12-08 17:45:00+00:00,227.27,227.49,227.21,227.49,179752.0,4126.0,227.315471
AMZN,2025-12-08 17:50:00+00:00,227.47,227.6853,227.47,227.545,192532.0,3943.0,227.575327
AMZN,2025-12-08 17:55:00+00:00,227.56,227.76,227.46,227.715,301146.0,5835.0,227.589404
AMZN,2025-12-08 18:00:00+00:00,227.72,227.77,227.31,227.395,239626.0,4976.0,227.533149
AMZN,2025-12-08 18:05:00+00:00,227.41,227.61,227.3907,227.565,216906.0,4773.0,227.527332
AMZN,2025-12-08 18:10:00+00:00,227.58,227.68,227.42,227.445,226384.0,4198.0,227.548698
AMZN,2025-12-08 18:15:00+00:00,227.445,227.605,227.44,227.48,192855.0,3898.0,227.518047
AMZN,2025-12-08 18:20:00+00:00,227.48,227.495,227.35,227.37,212485.0,3883.0,227.413171
AMZN,2025-12-08 18:25:00+00:00,227.37,227.37,227.02,227.05,321702.0,5609.0,227.190781
AMZN,2025-12-08 18:30:00+00:00,227.03,227.374,227.0,227.25,373366.0,7086.0,227.169207
AMZN,2025-12-08 18:35:00+00:00,227.25,227.25,226.98,227.01,312823.0,5240.0,227.123496
AMZN,2025-12-08 18:40:00+00:00,227.03,227.19,226.92,227.151,213699.0,4293.0,227.00777
AMZN,2025-12-08 18:45:00+00:00,227.1596,227.2735,227.065,227.1098,267042.0,3996.0,227.195997
AMZN,2025-12-08 18:50:00+00:00,227.11,227.14,226.98,227.02,174126.0,3788.0,227.057587
AMZN,2025-12-08 18:55:00+00:00,227.0195,227.04,226.7,226.98,307796.0,5592.0,226.885802
AMZN,2025-12-08 19:00:00+00:00,226.97,227.03,226.75,226.815,236438.0,4024.0,226.894746
AMZN,2025-12-08 19:05:00+00:00,226.83,227.01,226.71,226.9899,198377.0,3734.0,226.859969
AMZN,2025-12-08 19:10:00+00:00,226.99,227.0,226.77,226.8,200493.0,3909.0,226.847599
AMZN,2025-12-08 19:15:00+00:00,226.7955,227.06,226.72,227.051,207357.0,3869.0,226.865464
AMZN,2025-12-08 19:20:00+00:00,227.06,227.2,227.04,227.13,213034.0,3753.0,227.124574
AMZN,2025-12-08 19:25:00+00:00,227.13,227.19,227.01,227.09,165705.0,3388.0,227.097728
AMZN,2025-12-08 19:30:00+00:00,227.09,227.1888,226.715,226.97,246268.0,4527.0,226.949479
AMZN,2025-12-08 19:35:00+00:00,226.96,227.09,226.92,226.935,192532.0,3682.0,227.005858
AMZN,2025-12-08 19:40:00+00:00,226.935,227.07,226.82,226.96,186192.0,4040.0,226.941178
AMZN,2025-12-08 19:45:00+00:00,226.96,227.01,226.84,226.98,183833.0,3829.0,226.928731
AMZN,2025-12-08 19:50:00+00:00,226.99,227.121,226.97,226.98,174459.0,3689.0,227.042114
AMZN,2025-12-08 19:55:00+00:00,226.98,226.99,226.83,226.865,208593.0,4108.0,226.908045
AMZN,2025-12-08 20:00:00+00:00,226.87,227.03,226.78,226.78,184187.0,3835.0,226.905875
AMZN,2025-12-08 20:05:00+00:00,226.775,226.855,226.75,226.83,159687.0,3958.0,226.80807
AMZN,2025-12-08 20:10:00+00:00,226.83,227.03,226.81,227.0,218446.0,4087.0,226.92899
AMZN,2025-12-08 20:15:00+00:00,227.0055,227.15,226.83,226.86,305077.0,5201.0,227.023448
AMZN,2025-12-08 20:20:00+00:00,226.85,226.955,226.76,226.955,201361.0,3981.0,226.85932
AMZN,2025-12-08 20:25:00+00:00,226.95,227.02,226.86,226.9742,249701.0,4848.0,226.965752
AMZN,2025-12-08 20:30:00+00:00,226.98,227.0,226.7942,226.8001,283512.0,5264.0,226.877287
AMZN,2025-12-08 20:35:00+00:00,226.8,226.84,226.73,226.765,284719.0,5619.0,226.775536
AMZN,2025-12-08 20:40:00+00:00,226.76,226.92,226.67,226.78,501380.0,8505.0,226.790105
AMZN,2025-12-08 20:45:00+00:00,226.79,226.9,226.69,226.81,448945.0,8510.0,226.804939
AMZN,2025-12-08 20:50:00+00:00,226.82,227.13,226.326,226.34,969043.0,15066.0,226.865621
AMZN,2025-12-08 20:55:00+00:00,226.345,227.025,226.27,226.99,1796747.0,22832.0,226.722661
AMZN,2025-12-08 21:00:00+00:00,226.995,227.21,226.83,227.0383,8425116.0,846.0,226.890768
AMZN,2025-12-08 21:05:00+00:00,227.084,227.1,227.04,227.1,187749.0,449.0,227.070314
